70,14,63
51,11,11
64,91,98
45,97,27
32,18,72
35,61,53
95,5,62
26,69,81
5,98,55
37,43,92
84,5,8
19,2,38
3,91,14
98,34,10
63,56,89
26,59,70
99,23,30
75,19,51
88,3,12
33,36,68
8,53,57
65,49,13
86,54,78
88,24,23
6,67,63
3,63,38
10,51,76
6,78,22
99,83,67
13,28,38
26,22,74
37,19,23
27,34,32
96,39,47
63,52,23
11,85,72
90,13,43
17,99,76
13,60,96
92,33,41
17,45,99
20,74,38
96,87,27
27,50,19
83,42,7
51,84,85
47,36,64
29,38,78
80,87,21
89,7,74
9,92,27
65,41,63
62,97,34
66,75,25
58,56,3
77,46,13
62,12,90
99,60,33
99,35,98
77,91,64
50,61,36
42,74,88
35,90,33
91,44,61
63,96,32
100,39,88
61,66,20
100,7,21
70,100,17
73,84,20
3,14,97
66,12,2
56,31,33
31,39,69
77,43,11
62,21,4
12,57,11
10,71,15
40,11,59
14,2,62
87,84,89
98,27,91
88,63,74
28,28,81
59,41,31
64,32,34
95,39,18
69,10,99
2,51,66
52,93,53
68,2,39
34,27,74
80,36,35
26,75,94
66,41,69
35,43,31
79,51,44
99,89,67
28,95,44
8,35,59
23,21,76
34,65,62
22,14,68
67,87,85
79,81,22
33,8,88
80,34,92
83,54,41
71,76,44
27,9,49
15,5,25
92,12,94
27,1,38
50,44,38
6,90,36
73,15,30
93,35,37
39,34,2
77,63,21
10,20,86
93,36,27
50,53,75
92,78,29
23,38,69
16,94,26
40,25,55
46,96,16
80,53,25
81,65,17
5,47,79
22,84,94
68,38,22
63,82,64
3,46,65
71,1,11
59,31,64
87,88,11
65,49,9
98,76,11
40,4,80
31,23,21
74,65,55
66,22,94
59,12,100
81,62,91
2,51,50
64,27,8
10,37,25
58,31,10
69,35,73
3,72,40
43,1,59
71,91,76
30,9,43
47,58,52
22,12,53
19,36,73
50,100,30
59,60,36
17,66,74
58,61,96
55,100,67
87,31,54
63,17,64
53,77,43
11,21,88
66,22,48
2,100,97
100,52,11
92,1,44
15,9,96
97,11,95
55,33,12
13,7,37
34,7,44
58,97,20
54,75,51
60,37,95
17,39,82
74,91,53
80,23,50
6,61,62
92,3,65
100,1,60
67,36,29
99,63,8
78,61,62
21,5,59
8,69,98
29,26,3
45,71,31
36,23,98
29,93,20
81,91,4
65,34,8
52,73,59
6,37,17
72,21,3
91,75,85
45,28,54
77,72,29
30,3,55
47,28,41
45,16,25
99,75,47
21,29,84
80,10,39
6,82,7
8,69,75
74,59,41
67,50,40
64,79,18
38,10,19
41,14,1
87,73,12
20,40,83
9,20,82
21,34,54
93,34,2
91,32,23
85,89,17
12,60,33
22,39,1
93,43,94
67,48,46
75,89,59
85,60,89
7,57,35
41,38,100
39,42,27
30,70,77
41,31,68
97,93,94
25,56,56
58,80,9
35,45,76
8,9,45
39,62,64
34,52,51
69,67,89
42,49,38
52,68,62
53,67,80
35,59,57
42,31,93
30,73,4
26,43,60
52,19,97
35,79,5
83,68,37
98,97,97
29,41,33
33,59,93
8,31,58
58,25,35
77,68,30
56,84,87
34,10,35
48,3,68
26,66,33
13,42,23
53,66,89
85,85,84
67,77,50
97,32,34
24,48,35
13,18,41
64,44,17
84,22,77
91,60,30
67,85,79
11,81,67
89,60,45
48,24,90
62,33,94
98,20,49
43,40,89
2,23,56
85,52,70
74,33,87
99,96,33
61,61,5
13,85,24
75,96,20
38,74,97
71,47,89
2,86,77
10,11,47
18,37,27
7,43,71
25,59,23
41,100,62
66,23,90
92,8,19
100,35,26
11,55,61
23,34,16
59,7,28
86,91,20
84,60,40
21,49,70
91,97,57
39,39,84
61,66,37
100,69,28
22,13,43
48,74,72
27,51,50
83,61,59
69,57,8
11,69,52
95,29,7
14,7,55
87,16,61
3,1,93
99,27,75
59,64,99
22,29,35
8,64,88
2,41,33
32,49,53
44,6,33
38,18,84
39,65,71
73,88,21
62,41,34
72,78,51
9,80,23
14,43,90
49,91,90
73,29,44
86,9,15
55,5,54
66,52,33
1,31,15
81,31,64
90,66,98
26,8,62
51,8,84
62,60,63
91,91,77
53,47,50
33,83,22
47,44,15
55,99,35
71,35,98
49,25,1
28,70,29
16,18,70
91,74,14
30,87,44
41,29,46
48,61,72
17,77,77
50,45,83
83,75,7
23,86,15
77,18,55
46,79,12
100,1,40
4,60,13
41,11,26
40,47,45
92,40,37
39,47,15
75,24,45
91,90,42
53,2,90
61,64,57
88,48,58
30,23,25
71,9,27
67,13,8
49,3,68
48,41,43
13,2,58
51,23,100
31,45,30
84,86,55
40,37,15
64,94,29
82,50,95
82,83,12
58,76,14
76,67,32
12,93,90
9,58,87
72,59,14
52,47,5
79,1,64
27,19,55
37,71,32
4,15,53
32,45,29
39,70,96
47,56,64
41,44,21
33,66,92
96,45,85
100,5,99
8,88,39
33,26,78
26,19,56
48,41,69
70,57,63
15,48,45
9,86,19
3,77,34
45,66,80
59,80,51
63,11,93
27,3,63
93,81,42
25,41,79
65,88,49
90,71,30
96,82,61
82,21,59
42,5,36
100,61,75
17,9,36
94,94,28
39,27,82
6,15,46
47,45,31
96,38,64
76,86,61
61,55,81
29,73,42
23,79,88
74,8,83
39,93,57
5,57,23
40,12,76
33,88,74
11,86,71
81,82,99
67,57,35
34,41,31
23,28,72
86,18,72
32,93,81
81,85,52
31,67,57
34,28,21
1,14,66
80,83,46
65,14,87
93,5,17
35,26,49
37,90,44
52,67,77
50,33,65
67,36,82
34,46,54
64,21,22
74,51,48
70,61,21
23,74,1
76,71,73
56,52,95
70,66,71
79,27,99
67,41,63
9,54,53
68,21,93
7,33,49
70,52,85
37,1,32
88,32,68
100,33,7
81,36,23
66,73,42
53,65,3
65,13,63
36,80,23
67,64,23
32,63,25
47,11,8
52,84,59
42,66,7
23,34,34
47,27,55
48,44,43
70,3,69
83,72,26
63,30,5
51,5,64
73,50,64
99,10,72
76,65,18
32,29,68
39,68,67
43,72,90
7,44,96
81,70,54
34,90,37
96,35,43
91,91,49
66,88,46
62,59,65
18,73,45
15,100,52
98,41,5
5,77,10
40,75,96
95,27,8
65,10,1
19,49,91
17,39,52
91,24,68
56,5,59
23,2,73
17,55,65
79,26,26
36,63,84
20,25,91
64,14,36
2,5,19
21,96,63
85,83,93
79,98,16
60,4,89
46,19,69
8,1,82
98,49,74
46,79,68
50,41,50
19,56,64
32,1,74
17,12,82
24,79,22
